Favorite,Course,Nickname,Term,Enrolled as,Published
CDA3103.001S20.11056 Computer Organization cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1379052,,Spring 20,TA,YesThis course has been published.
CDA3201.001F18 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1296912,,Fall 18,TA,YesThis course has been published.
CDA3201.001S19.10698 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1310931,,Spring 19,TA,YesThis course has been published.
CDA3201.002S19.20993 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1320788,,Spring 19,TA,YesThis course has been published.
CDA3201L.001F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1289852,,Fall 18,TA,YesThis course has been published.
CDA3201L.001S19.10699 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1321458,,Spring 19,TA,YesThis course has been published.
CDA3201L.002F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1299579,,Fall 18,TA,YesThis course has been published.
CDA3201L.002S19.10700 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1314677,,Spring 19,TA,YesThis course has been published.
CDA3201L.003F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1298184,,Fall 18,TA,YesThis course has been published.
CDA3201L.003F19.80805 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1348217,,Fall 19,TA,YesThis course has been published.
CDA3201L.003S19.12253 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1313095,,Spring 19,TA,YesThis course has been published.
CDA3201L.004F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1290414,,Fall 18,TA,YesThis course has been published.
CDA3201L.004S19.18742 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1317136,,Spring 19,TA,YesThis course has been published.
CDA3201L.004S21.17915 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1516762,,Spring 21,TA,YesThis course has been published.
CDA3201L.005F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1292183,,Fall 18,TA,YesThis course has been published.
CDA3201L.005S19.18743 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1321706,,Spring 19,TA,YesThis course has been published.
CDA4213.001F21.82415 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1608398,,Fall 21,TA,YesThis course has been published.
CDA4213.001F22.82260 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1705852,,Fall 22,TA,YesThis course has been published.
CDA4213.001F23.86575 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1830088,,Fall 23,TA,YesThis course has been published.
CDA4213L.001F21.84230 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1596140,,Fall 21,TA,YesThis course has been published.
CDA4213L.001F22.83989 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1718526,,Fall 22,TA,YesThis course has been published.
CDA4213L.001F23.87766 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1836622,,Fall 23,TA,YesThis course has been published.
CDA4213L.003F24.96620 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1892516,,Fall 24,TA,YesThis course has been published.
CDA4253.001S21.13500 Field Prgm Gate Array Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1529038,,Spring 21,TA,YesThis course has been published.
CGS3303.001F19.94000 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1354014,,Fall 19,TA,YesThis course has been published.
CGS3303.001S20.12208 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1420118,,Spring 20,TA,YesThis course has been published.
CGS3303.001S21.12159 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1509276,,Spring 21,TA,YesThis course has been published.
CGS3303.001S22.12158 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1651726,,Spring 22,TA,YesThis course has been published.
CGS3303.701U20.51507 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1436304,,Summer 20,TA,YesThis course has been published.
CGS3303.701U22.51414 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1697524,,Summer 22,TA,YesThis course has been published.
CIS4930.002U23.53483 Hands-on Hardware Security cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1838068,,Summer 23,TA,YesThis course has been published.
CIS4930.005S24.16572 Wireless and Mobile Computing cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1880700,,Spring 24,TA,YesThis course has been published.
CIS4930.007F22.83894 Practical Hardware Security cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1718160,,Fall 22,TA,YesThis course has been published.
CIS4930.011F20.91449 IoT System Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1470186,,Fall 20,TA,YesThis course has been published.
CIS6930.005F24.92372 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1896500,,Fall 24,TA,YesThis course has been published.
CIS6930.005S24.16571 Wireless and Mobile Computing cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1880710,,Spring 24,TA,YesThis course has been published.
CNT4104L.003S24.17494 Computer Networks Lab for IT cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1906028,,Spring 24,TA,YesThis course has been published.
Click to remove EEL6764.001S25.15508 Princ of Computer Architecture from the courses menu.,https://usflearn.instructure.com/courses/1927136,,Spring 25,TA,YesThis course has been published.
