Favorite,Course,Enrolled as,Nickname,Published,Term
CDA3201.001S19.10698 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1310931,TA,,YesThis course has been published.,Spring 19
CDA3103.001S20.11056 Computer Organization cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1379052,TA,,YesThis course has been published.,Spring 20
CDA3201.001F18 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1296912,TA,,YesThis course has been published.,Fall 18
CDA3201.002S19.20993 Computer Logic and Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1320788,TA,,YesThis course has been published.,Spring 19
CDA3201L.001F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1289852,TA,,YesThis course has been published.,Fall 18
CDA3201L.004S21.17915 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1516762,TA,,YesThis course has been published.,Spring 21
CDA3201L.002S19.10700 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1314677,TA,,YesThis course has been published.,Spring 19
CDA3201L.002F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1299579,TA,,YesThis course has been published.,Fall 18
CDA3201L.003S19.12253 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1313095,TA,,YesThis course has been published.,Spring 19
CDA3201L.003F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1298184,TA,,YesThis course has been published.,Fall 18
CDA3201L.003F19.80805 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1348217,TA,,YesThis course has been published.,Fall 19
CDA3201L.004S19.18742 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1317136,TA,,YesThis course has been published.,Spring 19
CDA3201L.001S19.10699 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1321458,TA,,YesThis course has been published.,Spring 19
CDA3201L.004F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1290414,TA,,YesThis course has been published.,Fall 18
CDA4213.001F20.82432 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1455216,Student,,YesThis course has been published.,Fall 20
CDA4213.001F23.86575 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1830088,TA,,YesThis course has been published.,Fall 23
CDA3201L.005F18 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1292183,TA,,YesThis course has been published.,Fall 18
CDA4213L.001F23.87766 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1836622,TA,,YesThis course has been published.,Fall 23
CDA4213L.001F21.84230 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1596140,TA,,YesThis course has been published.,Fall 21
CDA4213.001F21.82415 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1608398,TA,,YesThis course has been published.,Fall 21
CDA3201L.005S19.18743 Computer Logic Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1321706,TA,,YesThis course has been published.,Spring 19
CDA4213L.001F22.83989 CMOS-VLSI Design Lab cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1718526,TA,,YesThis course has been published.,Fall 22
CDA4213.001F22.82260 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1705852,TA,,YesThis course has been published.,Fall 22
CGS3303.001S21.12159 IT Concepts cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1509276,TA,,YesThis course has been published.,Spring 21
